17372
20140828212952,10.0.0.2,60623,10.0.0.1,5001,3,0.0-1.0,1310720,10485760
20140828212953,10.0.0.2,60623,10.0.0.1,5001,3,1.0-2.0,1179648,9437184
20140828212954,10.0.0.2,60623,10.0.0.1,5001,3,2.0-3.0,1310720,10485760
20140828212955,10.0.0.2,60623,10.0.0.1,5001,3,3.0-4.0,1179648,9437184
20140828212956,10.0.0.2,60623,10.0.0.1,5001,3,4.0-5.0,1179648,9437184
20140828212957,10.0.0.2,60623,10.0.0.1,5001,3,5.0-6.0,1179648,9437184
20140828212958,10.0.0.2,60623,10.0.0.1,5001,3,6.0-7.0,1310720,10485760
20140828212959,10.0.0.2,60623,10.0.0.1,5001,3,7.0-8.0,1179648,9437184
20140828213000,10.0.0.2,60623,10.0.0.1,5001,3,8.0-9.0,1179648,9437184
20140828213001,10.0.0.2,60623,10.0.0.1,5001,3,9.0-10.0,1310720,10485760
20140828213002,10.0.0.2,60623,10.0.0.1,5001,3,10.0-11.0,1179648,9437184
20140828213003,10.0.0.2,60623,10.0.0.1,5001,3,11.0-12.0,1179648,9437184
20140828213004,10.0.0.2,60623,10.0.0.1,5001,3,12.0-13.0,1179648,9437184
20140828213005,10.0.0.2,60623,10.0.0.1,5001,3,13.0-14.0,1179648,9437184
20140828213006,10.0.0.2,60623,10.0.0.1,5001,3,14.0-15.0,1179648,9437184
20140828213007,10.0.0.2,60623,10.0.0.1,5001,3,15.0-16.0,1179648,9437184
20140828213008,10.0.0.2,60623,10.0.0.1,5001,3,16.0-17.0,1310720,10485760
20140828213009,10.0.0.2,60623,10.0.0.1,5001,3,17.0-18.0,1179648,9437184
20140828213010,10.0.0.2,60623,10.0.0.1,5001,3,18.0-19.0,1179648,9437184
20140828213011,10.0.0.2,60623,10.0.0.1,5001,3,19.0-20.0,1179648,9437184
20140828213012,10.0.0.2,60623,10.0.0.1,5001,3,20.0-21.0,1179648,9437184
20140828213013,10.0.0.2,60623,10.0.0.1,5001,3,21.0-22.0,1179648,9437184
20140828213014,10.0.0.2,60623,10.0.0.1,5001,3,22.0-23.0,1179648,9437184
20140828213015,10.0.0.2,60623,10.0.0.1,5001,3,23.0-24.0,1310720,10485760
20140828213016,10.0.0.2,60623,10.0.0.1,5001,3,24.0-25.0,1179648,9437184
20140828213017,10.0.0.2,60623,10.0.0.1,5001,3,25.0-26.0,1048576,8388608
20140828213018,10.0.0.2,60623,10.0.0.1,5001,3,26.0-27.0,1310720,10485760
20140828213019,10.0.0.2,60623,10.0.0.1,5001,3,27.0-28.0,1179648,9437184
20140828213020,10.0.0.2,60623,10.0.0.1,5001,3,28.0-29.0,1179648,9437184
20140828213021,10.0.0.2,60623,10.0.0.1,5001,3,29.0-30.0,1179648,9437184
20140828213022,10.0.0.2,60623,10.0.0.1,5001,3,30.0-31.0,1179648,9437184
20140828213023,10.0.0.2,60623,10.0.0.1,5001,3,31.0-32.0,1179648,9437184
20140828213024,10.0.0.2,60623,10.0.0.1,5001,3,32.0-33.0,1310720,10485760
20140828213025,10.0.0.2,60623,10.0.0.1,5001,3,33.0-34.0,1179648,9437184
