1570
20140901113712,10.0.0.2,36439,10.0.0.1,5001,3,0.0-1.0,1310720,10485760
20140901113713,10.0.0.2,36439,10.0.0.1,5001,3,1.0-2.0,1179648,9437184
20140901113714,10.0.0.2,36439,10.0.0.1,5001,3,2.0-3.0,1310720,10485760
20140901113715,10.0.0.2,36439,10.0.0.1,5001,3,3.0-4.0,1179648,9437184
20140901113716,10.0.0.2,36439,10.0.0.1,5001,3,4.0-5.0,1179648,9437184
20140901113717,10.0.0.2,36439,10.0.0.1,5001,3,5.0-6.0,1179648,9437184
20140901113718,10.0.0.2,36439,10.0.0.1,5001,3,6.0-7.0,1310720,10485760
20140901113719,10.0.0.2,36439,10.0.0.1,5001,3,7.0-8.0,1179648,9437184
20140901113720,10.0.0.2,36439,10.0.0.1,5001,3,8.0-9.0,1310720,10485760
20140901113721,10.0.0.2,36439,10.0.0.1,5001,3,9.0-10.0,1179648,9437184
20140901113722,10.0.0.2,36439,10.0.0.1,5001,3,10.0-11.0,1179648,9437184
20140901113723,10.0.0.2,36439,10.0.0.1,5001,3,11.0-12.0,1179648,9437184
20140901113724,10.0.0.2,36439,10.0.0.1,5001,3,12.0-13.0,1310720,10485760
20140901113725,10.0.0.2,36439,10.0.0.1,5001,3,13.0-14.0,1179648,9437184
20140901113726,10.0.0.2,36439,10.0.0.1,5001,3,14.0-15.0,1179648,9437184
20140901113727,10.0.0.2,36439,10.0.0.1,5001,3,15.0-16.0,1179648,9437184
20140901113728,10.0.0.2,36439,10.0.0.1,5001,3,16.0-17.0,1179648,9437184
20140901113729,10.0.0.2,36439,10.0.0.1,5001,3,17.0-18.0,1179648,9437184
20140901113730,10.0.0.2,36439,10.0.0.1,5001,3,18.0-19.0,1179648,9437184
20140901113731,10.0.0.2,36439,10.0.0.1,5001,3,19.0-20.0,1179648,9437184
20140901113732,10.0.0.2,36439,10.0.0.1,5001,3,20.0-21.0,1179648,9437184
20140901113733,10.0.0.2,36439,10.0.0.1,5001,3,21.0-22.0,1179648,9437184
20140901113734,10.0.0.2,36439,10.0.0.1,5001,3,22.0-23.0,1179648,9437184
20140901113735,10.0.0.2,36439,10.0.0.1,5001,3,23.0-24.0,1179648,9437184
20140901113736,10.0.0.2,36439,10.0.0.1,5001,3,24.0-25.0,1179648,9437184
20140901113737,10.0.0.2,36439,10.0.0.1,5001,3,25.0-26.0,1310720,10485760
20140901113738,10.0.0.2,36439,10.0.0.1,5001,3,26.0-27.0,1179648,9437184
20140901113739,10.0.0.2,36439,10.0.0.1,5001,3,27.0-28.0,1179648,9437184
20140901113740,10.0.0.2,36439,10.0.0.1,5001,3,28.0-29.0,1179648,9437184
20140901113741,10.0.0.2,36439,10.0.0.1,5001,3,29.0-30.0,1179648,9437184
20140901113742,10.0.0.2,36439,10.0.0.1,5001,3,30.0-31.0,1179648,9437184
20140901113743,10.0.0.2,36439,10.0.0.1,5001,3,31.0-32.0,1179648,9437184
20140901113744,10.0.0.2,36439,10.0.0.1,5001,3,32.0-33.0,1310720,10485760
20140901113745,10.0.0.2,36439,10.0.0.1,5001,3,33.0-34.0,1179648,9437184
20140901113746,10.0.0.2,36439,10.0.0.1,5001,3,34.0-35.0,1179648,9437184
20140901113747,10.0.0.2,36439,10.0.0.1,5001,3,35.0-36.0,1179648,9437184
20140901113748,10.0.0.2,36439,10.0.0.1,5001,3,36.0-37.0,1179648,9437184
20140901113749,10.0.0.2,36439,10.0.0.1,5001,3,37.0-38.0,1179648,9437184
20140901113750,10.0.0.2,36439,10.0.0.1,5001,3,38.0-39.0,1310720,10485760
20140901113751,10.0.0.2,36439,10.0.0.1,5001,3,39.0-40.0,1179648,9437184
20140901113752,10.0.0.2,36439,10.0.0.1,5001,3,40.0-41.0,1179648,9437184
20140901113753,10.0.0.2,36439,10.0.0.1,5001,3,41.0-42.0,1179648,9437184
20140901113754,10.0.0.2,36439,10.0.0.1,5001,3,42.0-43.0,1179648,9437184
20140901113755,10.0.0.2,36439,10.0.0.1,5001,3,43.0-44.0,1179648,9437184
20140901113756,10.0.0.2,36439,10.0.0.1,5001,3,44.0-45.0,1179648,9437184
20140901113757,10.0.0.2,36439,10.0.0.1,5001,3,45.0-46.0,1179648,9437184
20140901113758,10.0.0.2,36439,10.0.0.1,5001,3,46.0-47.0,1179648,9437184
20140901113759,10.0.0.2,36439,10.0.0.1,5001,3,47.0-48.0,1179648,9437184
20140901113800,10.0.0.2,36439,10.0.0.1,5001,3,48.0-49.0,1179648,9437184
20140901113801,10.0.0.2,36439,10.0.0.1,5001,3,49.0-50.0,1179648,9437184
20140901113802,10.0.0.2,36439,10.0.0.1,5001,3,50.0-51.0,1310720,10485760
20140901113803,10.0.0.2,36439,10.0.0.1,5001,3,51.0-52.0,1179648,9437184
20140901113804,10.0.0.2,36439,10.0.0.1,5001,3,52.0-53.0,1179648,9437184
20140901113805,10.0.0.2,36439,10.0.0.1,5001,3,53.0-54.0,1179648,9437184
20140901113806,10.0.0.2,36439,10.0.0.1,5001,3,54.0-55.0,1179648,9437184
20140901113807,10.0.0.2,36439,10.0.0.1,5001,3,55.0-56.0,1179648,9437184
20140901113808,10.0.0.2,36439,10.0.0.1,5001,3,56.0-57.0,1179648,9437184
20140901113809,10.0.0.2,36439,10.0.0.1,5001,3,57.0-58.0,1310720,10485760
20140901113810,10.0.0.2,36439,10.0.0.1,5001,3,58.0-59.0,1179648,9437184
20140901113811,10.0.0.2,36439,10.0.0.1,5001,3,59.0-60.0,1179648,9437184
20140901113811,10.0.0.2,36439,10.0.0.1,5001,3,0.0-60.2,72220672,9593014
